entry_id,source_entry_id,person_id,normalization input,listed as,book,author,edition,year
Equiano-Interesting-7-0607,Equiano-Interesting-7-0607,Equiano-Interesting-7-0607,"Mr. Fletcher, W. S.","Mr. Fletcher, W. S.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0608,Equiano-Interesting-7-0608,Equiano-Interesting-7-0608,Mr. Fowler,Mr. Fowler,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0609,Equiano-Interesting-7-0609,Equiano-Interesting-7-0609,Mr. Peter Forrester,Mr. Peter Forrester,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0610,Equiano-Interesting-7-0610,Equiano-Interesting-7-0610,Mr. Peter Forbester,Mr. Peter Forbester,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0611,Equiano-Interesting-7-0611,Equiano-Interesting-7-0611,Lord Adam Gordon,Lord Adam Gordon,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0612,Equiano-Interesting-7-0612,Equiano-Interesting-7-0612,Mr. John Guthrie,Mr. John Guthrie,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0613,Equiano-Interesting-7-0613,Equiano-Interesting-7-0613,Miss Gray,Miss Gray,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0614,Equiano-Interesting-7-0614,Equiano-Interesting-7-0614,"Mr. Gilles, Advocate","Mr. Gilles, Advocate",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0615,Equiano-Interesting-7-0615,Equiano-Interesting-7-0615,"Mr. John Gordon, ditto","Mr. John Gordon, ditto",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0616,Equiano-Interesting-7-0616,Equiano-Interesting-7-0616,"Mr. James Gordon, ditto","Mr. James Gordon, ditto",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0617,Equiano-Interesting-7-0617,Equiano-Interesting-7-0617,"Mr. Will. Gordon, W. S.","Mr. Will. Gordon, W. S.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0618,Equiano-Interesting-7-0618,Equiano-Interesting-7-0618,Mr. John Gray,Mr. John Gray,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0619,Equiano-Interesting-7-0619,Equiano-Interesting-7-0619,Capt. Gallia of Greenock,Capt. Gallia of Greenock,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0620,Equiano-Interesting-7-0620,Equiano-Interesting-7-0620,"Mr Alex Grant, W. S.","Mr Alex Grant, W. S.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0621,Equiano-Interesting-7-0621,Equiano-Interesting-7-0621,Rev. Mr. Greenfield,Rev. Mr. Greenfield,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0622,Equiano-Interesting-7-0622,Equiano-Interesting-7-0622,Mr. Robert Graham of Glasgow,Mr. Robert Graham of Glasgow,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0623,Equiano-Interesting-7-0623,Equiano-Interesting-7-0623,"William Gillespie, Esq. of ditto","William Gillespie, Esq. of ditto",Interesting Narrative,"Equiano, Olaudah",7,1793
